Iteration,Span [m],Chord root [m],Taper [-],LE Sweep [deg],Wing Area [m²],CL Design [-],MTOW [kg],Fuel mass [kg],Total Fuel Volume [m³],Fuel Volume in Wing [m³],Fuel % in Wing [%],HTail Sweep [deg],HTail Taper [-],HTail Span [m],HTail Root Chord [m],HTail Tip Chord [m],HTail MAC [m],HTail Dihedral [deg],HTail LE Sweep [deg],VTail Sweep [deg],VTail Taper [-],VTail Span [m],VTail Root Chord [m],VTail Tip Chord [m],VTail MAC [m],VTail Dihedral [deg],VTail LE Sweep [deg],Weight wing [kg],Weight horizontal tail [kg],Weight vertical tail[kg],Weight fuselage [kg],Weight main landing gear [kg],Weight nose landing gear [kg],Weigth installed engine [kg],Weight fuel system [kg],Weight fuel [kg],Weight flight controls [kg],Weight hydraulics [kg],Weight electrics [kg],Weight avionics [kg],Weight aircon [kg],Weight furnishing [kg],Total weight [kg],C_D fuselage,C_D wing,C_D htail,C_D vtail,C_D nacelle,C_D wave drag,C_D_0 clean,C_D flap deflection,C_D_0 landing,C_D All wheels extracted,C_D induced clean,C_D induced landing,C_D total clean,C_D total landing
1,22.277791632026727,3.268635642580913,0.36312480606961706,13,33.14639012718189,0.40517419515882735,12851.752770500138,4930.712543005421,6.163390678756777,5.206421450704504,84.47333167844386,10.56396490468687,0.36312480606961706,7.098802953183791,2.975852843648983,1.0806059867417552,2.1758113661368315,3.9436035095313127,14.210792121085378,10.56396490468687,0.36312480606961706,4.449841629641687,4.3525891000127315,1.5805330728428522,3.182419740997135,3.9436035095313127,18.892642091739912,1134.7911363770957,14.908706148188612,43.25384644539345,1868.933561072323,236.29572166528783,52.30996180947159,1359.9001279199058,242.38194636850773,4930.712543005421,375.4983688528792,10.439487584818362,294.35049924536,793.2900909801979,392.8046426442819,578.0946733864287,12851.752770500138,0.0059334702348019484,0.007664826976151814,0.0017166842593374977,0.0014731632215081345,0.00018803842875099583,0.0018181818181818182,0.018985755787582947,0.06243891868205906,0.081994687431004,0.03790711402979504,0.005365813549720426,0.19600382898661695,0.024866596556385408,0.3783445491294751
2,18.206150094729498,2.6712374411591004,0.36312480606961706,13,35.43004496827355,0.6110963610324015,13315.265367930286,4848.496878848308,6.060621098560386,2.8416936984060976,46.88782968268882,10.56396490468687,0.36312480606961706,5.458851630762485,2.2883772455152758,0.8309665434918589,1.6731597570179917,3.9436035095313127,14.210792121085378,10.56396490468687,0.36312480606961706,3.4219331693949537,3.347145865791142,1.215431693402129,2.4472843253822236,3.9436035095313127,18.892642091739912,836.2993907405288,9.311115847388134,27.34344444941921,1857.511837551453,226.72848222417045,50.740622477002994,1359.9001279199058,274.16698596281316,4848.496878848308,375.4983688528792,10.439487584818362,298.9235543035779,793.2900909801979,392.8046426442819,578.0946733864287,13315.265367930286,0.009166568328484167,0.007998853098951753,0.0016079274591378834,0.0013768050747235661,0.00028154942915665734,0.0018181818181818182,0.022428969160667535,0.06013254172456212,0.08316562893905928,0.056758218981919614,0.01193172540212236,0.19161353011537108,0.03497901818306447,0.3916699197609121
3,18.82287038904363,2.761723696206041,0.36312480606961706,13,35.48981540348225,0.5705215607802876,13251.64216151386,4770.59024609537,5.963237807619213,3.1403674200719705,52.662119495880766,10.56396490468687,0.36312480606961706,5.066169372334441,2.123762926298329,0.7711910007499231,1.5528010815056894,3.9436035095313127,14.210792121085378,10.56396490468687,0.36312480606961706,3.1757765533082556,3.106369071188398,1.1279996665559433,2.2712390321760387,3.9436035095313127,18.892642091739916,877.757393656986,8.145209308577321,24.001872998578282,1856.19248807759,238.63191069154632,52.690614615664714,1359.9001279199058,270.8404310625405,4770.59024609537,348.4082368847415,10.439487584818362,298.4481028536956,793.2900909801979,392.8046426442819,578.0946733864287,13251.64216151386,0.00853114059285441,0.007942227240800489,0.0013169201318569657,0.0011268914918525844,0.0002634020709617709,0.0018181818181818182,0.02114539204393061,0.060543686589269556,0.08226702371946891,0.0530998498868234,0.010441893648904117,0.19238551153390052,0.03216710199960719,0.38829607172946234
4,18.83874077625207,2.764052226526636,0.36312480606961706,13,35.234036790744604,0.5677009302045459,13177.334234877884,4757.406100150253,5.946757625187817,3.1483174636671984,52.941748463605244,10.56396490468687,0.36312480606961706,5.157547980891407,2.1620692849782777,0.7851009898168126,1.5808089888150263,3.9436035095313127,14.210792121085378,10.56396490468687,0.36312480606961706,3.233058104950384,3.162398718546752,1.1483454213870947,2.312205420626033,3.9436035095313127,18.892642091739916,879.1870682120475,8.410359686933626,24.762833064939294,1856.2629861241912,238.94102528997908,52.740907381858854,1359.9001279199058,267.67393479394644,4757.406100150253,352.7410007914772,10.439487584818362,297.9948509215092,793.2900909801979,392.8046426442819,578.0946733864287,13177.334234877884,0.008515651685696415,0.007940802495226447,0.0013572379483517921,0.0011615736978323676,0.00026295846041499095,0.0018181818181818182,0.021207534804474883,0.06055392441893473,0.08234157572738462,0.05301042138173907,0.010339939678308912,0.19240479252834086,0.03212915507237259,0.3883107140563994
5,18.770731682793986,2.7540738161631455,0.36312480606961706,13,35.175460772190675,0.5711056761793737,13157.220879377159,4751.290739530778,5.939113424413473,3.1143435081514275,52.43785200918249,10.56396490468687,0.36312480606961706,5.143173908734153,2.156043603777365,0.7829129154992939,1.5764032784743272,3.9436035095313127,14.210792121085378,10.56396490468687,0.36312480606961706,3.224047580828974,3.1535851219425473,1.1451449858294172,2.305761310424516,3.9436035095313127,18.892642091739912,874.3876225679095,8.36840220156498,24.642460004993097,1856.338614504703,237.617365314888,52.52542808865312,1359.9001279199058,267.1366714840498,4751.290739530778,352.85131117628396,10.439487584818362,297.9178813682293,793.2900909801979,392.8046426442819,578.0946733864287,13157.220879377159,0.008582318086403399,0.007946919120177136,0.0013603108485059172,0.0011641751214641486,0.0002648673858841907,0.0018181818181818182,0.02128824153881481,0.060509934999215524,0.08237939456144397,0.053395246206728204,0.010459819813289382,0.19232196690993755,0.03233216314372318,0.38860654267732525
6,18.75512217294003,2.7517835622136237,0.36312480606961706,13,35.154923006712494,0.5717673693590177,13148.711507604254,4747.689306930475,5.934611633663094,3.106580418024739,52.346819131401624,10.56396490468687,0.36312480606961706,5.129720822658614,2.150404004436776,0.7808650370824322,1.5722798540342042,3.9436035095313127,14.210792121085378,10.56396490468687,0.36312480606961706,3.2156143856101873,3.145336236556816,1.1421496109234328,2.2997300919727905,3.9436035095313127,18.892642091739912,873.2523682604786,8.329217089399707,24.530026697817846,1856.342559326241,237.31391985513918,52.475985608323825,1359.9001279199058,266.8873277294301,4747.689306930475,352.37818766317815,10.439487584818362,297.88215332783346,793.2900909801979,392.8046426442819,578.0946733864287,13148.711507604254,0.008597727466448003,0.007948327143321061,0.0013562337368644465,0.0011606592130374684,0.00026530845691977325,0.0018181818181818182,0.02129745141176669,0.060499795132059234,0.08237843666741343,0.05348416276571098,0.01048302830974051,0.19230288243516566,0.032364857809314744,0.3886652770003493
